"LG_ID","DIstrict","totalPopulation_2014","groupQuaterPopulation_2014","householdPopulation_2014","householdSize_2014","totalHousingUnits_2014","households_2014","vacantHousingUnits_2014","vacancyRate_2014","totalPopulation_2015","groupQuaterPopulation_2015","householdPopulation_2015","householdSize_2015","totalHousingUnits_2015","households_2015","vacantHousingUnits_2015","vacancyRate_2015"
"16011","GVR Metro District",16577,0.00,16577.00,3.40,5106.00,4867.00,239.00,4.68,17041,0.00,17041.00,3.45,5176.00,4934.00,242.00,4.67
"18024","McArthur Ranch Metro Rec District",191,0.00,191.00,2.76,76.00,69.00,7.00,9.21,194,0.00,194.00,2.77,77.00,70.00,7.00,9.09
"18029","Perry Park Metro Dist",1352,0.00,1352.00,2.61,549.00,518.00,31.00,5.64,1379,0.00,1379.00,2.62,557.00,525.00,32.00,5.74
"18036","Cottonwood Metro District",5095,0.00,5095.00,2.61,2039.00,1952.00,87.00,4.26,5196,0.00,5196.00,2.62,2070.00,1982.00,88.00,4.25
"18042","Lincoln Park Metro Dist",3040,0.00,3040.00,2.54,1247.00,1195.00,52.00,4.17,3099,0.00,3099.00,2.55,1265.00,1212.00,53.00,4.18
"18043","Stonegate Village Metro District",7956,0.00,7956.00,3.33,2423.00,2383.00,40.00,1.65,8111,0.00,8111.00,3.35,2458.00,2418.00,40.00,1.62
"18044","Castle Pines Metro District",9385,0.00,9385.00,3.05,3200.00,3071.00,129.00,4.03,9428,0.00,9428.00,3.07,3200.00,3071.00,129.00,4.03
"18045","Founders Village Metro Dist",7199,0.00,7199.00,3.25,2309.00,2214.00,95.00,4.11,7508,0.00,7508.00,3.26,2397.00,2298.00,99.00,4.13
"18053","Cherry Creek South Metro Dist #1",4119,0.00,4119.00,2.69,1616.00,1527.00,89.00,5.50,4199,0.00,4199.00,2.71,1640.00,1549.00,91.00,5.54
"18055","Roxborough Village Metro Dist",6733,0.00,6733.00,3.20,2181.00,2104.00,77.00,3.53,6862,0.00,6862.00,3.21,2212.00,2134.00,78.00,3.52
"18056","Meadows Metro Dist #1",6714,0.00,6714.00,3.40,2030.00,1969.00,61.00,3.00,7004,0.00,7004.00,3.42,2108.00,2045.00,63.00,2.98
"18057","Meadows Metro Dist #2",2835,0.00,2835.00,3.28,898.00,862.00,36.00,4.00,2956,0.00,2956.00,3.30,932.00,895.00,37.00,3.96
"18058","Meadows Metro Dist #3",498,0.00,498.00,3.32,159.00,150.00,9.00,5.66,519,0.00,519.00,3.32,165.00,156.00,9.00,5.45
"18059","Meadows Metro Dist #4",6,0.00,6.00,3.00,2.00,2.00,0.00,0.00,6,0.00,6.00,3.00,2.00,2.00,0.00,0.00
"18061","Meadows Metro Dist#6",1030,0.00,1030.00,2.94,378.00,350.00,28.00,7.40,1073,0.00,1073.00,2.95,392.00,363.00,29.00,7.39
"18062","Meadows Metro Dist#7",2595,0.00,2595.00,3.19,870.00,812.00,58.00,6.66,2707,0.00,2707.00,3.21,903.00,842.00,61.00,6.75
"18083","High Prairie Farms Metro Dist",2238,0.00,2238.00,3.32,712.00,673.00,39.00,5.47,2281,0.00,2281.00,3.33,722.00,683.00,39.00,5.40
"18102","Hidden Pointe Metro Dist",847,0.00,847.00,3.99,217.00,212.00,5.00,2.30,851,0.00,851.00,4.01,217.00,212.00,5.00,2.30
"18103","Canterberry Crossing Metro Dist #1",3948,0.00,3948.00,3.33,1228.00,1185.00,43.00,3.50,4027,0.00,4027.00,3.34,1247.00,1203.00,44.00,3.52
"18110","Consolidated Bell Mountain Ranch Metropolitan Dist",586,0.00,586.00,2.79,220.00,210.00,10.00,4.54,597,0.00,597.00,2.81,223.00,212.00,11.00,4.93
"18112","Pinery West Metro Dist#2",1528,6.00,1522.00,3.67,443.00,414.00,29.00,6.54,1555,6.00,1549.00,3.69,449.00,419.00,30.00,6.68
"18114","E-470 Potomac Metro Dist",696,0.00,696.00,3.25,220.00,214.00,6.00,2.72,709,0.00,709.00,3.26,223.00,217.00,6.00,2.69
"18122","Canterberry Crossing MD#2",2652,0.00,2652.00,3.50,778.00,757.00,21.00,2.69,2706,0.00,2706.00,3.52,790.00,768.00,22.00,2.78
"19001","Arrowhead Metro District",315,0.00,315.00,2.14,748.00,147.00,601.00,80.34,318,0.00,318.00,2.16,748.00,147.00,601.00,80.34
"19004","Beaver Creek Metro District",251,0.00,251.00,1.96,1891.00,128.00,1763.00,93.23,253,0.00,253.00,1.97,1891.00,128.00,1763.00,93.23
"19006","Berry Creek Metro District",1756,0.00,1756.00,2.41,994.00,727.00,267.00,26.86,1722,0.00,1722.00,2.43,968.00,708.00,260.00,26.85
"19015","Eagle-Vail Metro Dist",3141,0.00,3141.00,2.53,1777.00,1240.00,537.00,30.21,3162,0.00,3162.00,2.55,1777.00,1240.00,537.00,30.21
"19032","Vail P/R District",5552,1.00,5551.00,2.05,7592.00,2703.00,4889.00,64.39,5675,1.00,5674.00,2.06,7722.00,2750.00,4972.00,64.38
"19039","Western Eagle County Metro Rec Dist",24425,69.00,24356.00,2.99,9764.00,8127.00,1637.00,16.76,24099,69.00,24030.00,3.03,9091.00,7913.00,1178.00,12.95
"19051","Cotton Ranch Metro Dist",604,0.00,604.00,3.12,223.00,193.00,30.00,13.45,606,0.00,606.00,3.13,223.00,193.00,30.00,13.45
"20010","Elizabeth P/R District",14559,8.00,14551.00,2.87,5274.00,5066.00,208.00,3.94,14731,8.00,14723.00,2.90,5275.00,5067.00,208.00,3.94
"21010","Cherokee Metro District",22767,11.00,22756.00,2.86,8394.00,7932.00,462.00,5.50,23237,11.00,23226.00,2.87,8537.00,8067.00,470.00,5.50
"21012","Cheyenne Creek Metro Dist",808,1.00,807.00,1.86,482.00,432.00,50.00,10.37,820,1.00,819.00,1.87,487.00,436.00,51.00,10.47
"21057","Colorado Centre Metro District",2858,0.00,2858.00,3.06,982.00,931.00,51.00,5.19,3061,0.00,3061.00,3.22,999.00,948.00,51.00,5.10
"21061","Triview Metro District",3351,0.00,3351.00,3.38,1020.00,990.00,30.00,2.94,3414,0.00,3414.00,3.39,1035.00,1005.00,30.00,2.89
"21074","Paint Brush Hills Metro Dist",2178,0.00,2178.00,3.21,695.00,678.00,17.00,2.44,2223,0.00,2223.00,3.22,707.00,690.00,17.00,2.40
"21081","Manitou Springs Metro District",207,0.00,207.00,1.86,123.00,111.00,12.00,9.75,211,0.00,211.00,1.88,125.00,112.00,13.00,10.40
"21089","Woodmen Hills Metro Dist",6770,0.00,6770.00,3.41,2066.00,1981.00,85.00,4.11,6912,0.00,6912.00,3.42,2102.00,2016.00,86.00,4.09
"21094","Ellicott Metro District",4348,0.00,4348.00,2.87,1684.00,1513.00,171.00,10.15,4431,0.00,4431.00,2.88,1710.00,1536.00,174.00,10.17
"21106","Meridian Ranch Metro Dist",4112,0.00,4112.00,3.47,1259.00,1182.00,77.00,6.11,4197,0.00,4197.00,3.48,1281.00,1203.00,78.00,6.08
"21902","Widefield 3 School District",49800,2149.00,47651.00,2.99,16759.00,15927.00,832.00,4.96,44885,2149.00,42736.00,2.98,15022.00,14310.00,712.00,4.73
"22004","Canon City Area Metro R/P Dist",26242,3027.00,23215.00,2.23,11321.00,10373.00,948.00,8.37,26360,3015.00,23345.00,2.24,11333.00,10384.00,949.00,8.37
"22022","Penrose P/R District",4012,6.00,4006.00,2.44,1787.00,1637.00,150.00,8.39,4033,6.00,4027.00,2.45,1787.00,1637.00,150.00,8.39
"23029","Parachute/Battlement Mesa P/R Dist",5982,0.00,5982.00,2.70,3059.00,2213.00,846.00,27.65,1846,0.00,1846.00,2.77,864.00,665.00,199.00,23.03
"23032"," ConsolidMD",4149,0.00,4149.00,2.68,2195.00,1548.00,647.00,29.47,4179,0.00,4179.00,2.69,2195.00,1548.00,647.00,29.47
"25005","Fraser Valley Metro Rec Dist",5469,178.00,5291.00,2.02,7474.00,2612.00,4862.00,65.05,5532,178.00,5354.00,2.02,7563.00,2638.00,4925.00,65.11
"25013","Grand Lake Metro Rec Dist",2464,5.00,2459.00,1.92,4743.00,1279.00,3464.00,73.03,2484,5.00,2479.00,1.92,4773.00,1288.00,3485.00,73.01
"30016","Columbine Knolls Grove Metro Rec Dist",2672,17.00,2655.00,2.78,971.00,954.00,17.00,1.75,2687,16.00,2671.00,2.77,978.00,961.00,17.00,1.73
"30023","Evergreen P/R District",22597,107.00,22490.00,2.51,9847.00,8955.00,892.00,9.05,22727,99.00,22628.00,2.50,9915.00,9017.00,898.00,9.05
"30028","Foothills P/R District",96171,1138.00,95033.00,2.66,36897.00,35660.00,1237.00,3.35,92838,1050.00,91788.00,2.68,35389.00,34247.00,1142.00,3.22
"30057","Leawood Metro R/P Dist",3105,1.00,3104.00,2.80,1127.00,1107.00,20.00,1.77,3124,1.00,3123.00,2.80,1135.00,1115.00,20.00,1.76
"30075","Pleasant View Metro District",4374,46.00,4328.00,2.42,1920.00,1787.00,133.00,6.92,4395,42.00,4353.00,2.42,1932.00,1798.00,134.00,6.93
"30105","Plains Metro District",620,0.00,620.00,1.60,409.00,387.00,22.00,5.37,624,0.00,624.00,1.60,412.00,389.00,23.00,5.58
"30111","West Meadows Metropolitan District",2386,0.00,2386.00,2.67,942.00,892.00,50.00,5.30,2400,0.00,2400.00,2.67,948.00,898.00,50.00,5.27
"30116","Ken-Caryl Ranch Metro District",10797,0.00,10797.00,2.95,3728.00,3653.00,75.00,2.01,10864,0.00,10864.00,2.95,3754.00,3679.00,75.00,1.99
"30124","Mount Vernon Country Club Metro District",227,0.00,227.00,2.63,89.00,86.00,3.00,3.37,228,0.00,228.00,2.62,90.00,87.00,3.00,3.33
"30138","Apex(NoJeffCo) P/R District",124157,814.00,123343.00,2.55,50370.00,48343.00,2027.00,4.02,125718,809.00,124909.00,2.54,51051.00,48996.00,2055.00,4.02
"30140"," DeerCreekMD",1106,0.00,1106.00,1.79,661.00,615.00,46.00,6.95,1113,0.00,1113.00,1.79,666.00,620.00,46.00,6.90
"30148","Prospect R/P District",9803,8.00,9795.00,2.38,4294.00,4108.00,186.00,4.33,9867,7.00,9860.00,2.38,4327.00,4139.00,188.00,4.34
"34006","Durango West Metro District #1",554,0.00,554.00,2.67,224.00,207.00,17.00,7.58,557,0.00,557.00,2.69,224.00,207.00,17.00,7.58
"34007","Durango West Metro District #2",631,0.00,631.00,2.59,263.00,243.00,20.00,7.60,633,0.00,633.00,2.60,263.00,243.00,20.00,7.60
"34011","Forest Lakes Metro District",1597,0.00,1597.00,2.57,736.00,621.00,115.00,15.62,1604,0.00,1604.00,2.58,736.00,621.00,115.00,15.62
"34024","Purgatory Metro District",40,0.00,40.00,1.66,173.00,24.00,149.00,86.12,40,0.00,40.00,1.66,173.00,24.00,149.00,86.12
"34035","El Rancho Florida Metro District",179,0.00,179.00,2.45,75.00,73.00,2.00,2.66,179,0.00,179.00,2.45,75.00,73.00,2.00,2.66
"36018","Santa Fe Trail Ranch Metro District",193,0.00,193.00,1.78,164.00,108.00,56.00,34.14,193,0.00,193.00,1.78,164.00,108.00,56.00,34.14
"39035","Panorama Improvement District",989,0.00,989.00,2.46,415.00,402.00,13.00,3.13,973,0.00,973.00,2.42,415.00,402.00,13.00,3.13
"43003","Montrose Recreation District",31072,456.00,30616.00,2.36,14108.00,12920.00,1188.00,8.42,31051,456.00,30595.00,2.36,14155.00,12962.00,1193.00,8.42
"46013","Loghill Village P/R District",326,0.00,326.00,2.20,203.00,148.00,55.00,27.09,328,0.00,328.00,2.21,203.00,148.00,55.00,27.09
"47006","Harris Park Metropolitan District",521,0.00,521.00,2.21,449.00,235.00,214.00,47.66,528,0.00,528.00,2.24,449.00,235.00,214.00,47.66
"47008"," IndianMtMPRD",310,0.00,310.00,1.87,603.00,165.00,438.00,72.63,,,,,,,,
"47015","Will-O-Wisp Metro District",232,0.00,232.00,2.20,114.00,105.00,9.00,7.89,236,0.00,236.00,2.24,114.00,105.00,9.00,7.89
"47021","South Park - P/R District",5270,74.00,5196.00,2.06,6793.00,2515.00,4278.00,62.97,5341,74.00,5267.00,2.09,6793.00,2515.00,4278.00,62.97
"49025","Brush Creek Metro District",,,,,,,,,,,,,,,,
"51007","Colorado City Metro District",2295,78.00,2217.00,2.47,986.00,897.00,89.00,9.02,2315,78.00,2237.00,2.49,986.00,897.00,89.00,9.02
"51015","Pueblo West Metro District",30207,108.00,30099.00,2.77,11505.00,10866.00,639.00,5.55,30475,108.00,30367.00,2.79,11504.00,10865.00,639.00,5.55
"52003","Eastern Rio Blanco Metro R/P Dist",3787,45.00,3742.00,2.33,2106.00,1602.00,504.00,23.93,3736,45.00,3691.00,2.29,2113.00,1607.00,506.00,23.94
"52019","Western Rio Blanco Metro R/P Dist",2828,214.00,2614.00,2.42,1239.00,1078.00,161.00,12.99,2715,134.00,2581.00,2.38,1244.00,1083.00,161.00,12.94
"54017","Steamboat II Metro District",1129,0.00,1129.00,2.88,405.00,391.00,14.00,3.45,1134,0.00,1134.00,2.90,405.00,391.00,14.00,3.45
"59005","Buffalo Mountain Metro District",1875,2.00,1873.00,2.30,2360.00,812.00,1548.00,65.59,1917,2.00,1915.00,2.35,2360.00,812.00,1548.00,65.59
"59023","Willow Brook Metro District",48,0.00,48.00,2.18,50.00,22.00,28.00,56.00,50,0.00,50.00,2.27,50.00,22.00,28.00,56.00
"59032","Swan's Nest Metro District",116,0.00,116.00,2.90,133.00,40.00,93.00,69.92,119,0.00,119.00,2.97,133.00,40.00,93.00,69.92
"59039","Copper Mountain Consolidated Metropolitan District",395,69.00,326.00,1.80,1740.00,181.00,1559.00,89.59,402,69.00,333.00,1.83,1740.00,181.00,1559.00,89.59
"62074","Carbon Valley P/R District",28361,0.00,28361.00,3.10,9641.00,9143.00,498.00,5.16,29366,0.00,29366.00,3.12,9923.00,9412.00,511.00,5.14
"62074","Carbon Valley Parks and Rec District",,,,,,,,,,,,,,,,
"62082","Beebe Draw Farms Metro Dist #1",56,0.00,56.00,2.94,20.00,19.00,1.00,5.00,57,0.00,57.00,3.00,20.00,19.00,1.00,5.00
"62104","Thompson Rivers P/R District",20683,0.00,20683.00,3.10,7034.00,6665.00,369.00,5.24,22523,0.00,22523.00,3.12,7610.00,7213.00,397.00,5.21
"62104","Thompson Rivers Park/Rec Dist",970,0.00,970.00,2.44,468.00,396.00,72.00,15.38,1055,0.00,1055.00,2.46,507.00,428.00,79.00,15.58
"62123"," Vista Ridge Metro District",4839,0.00,4839.00,2.91,1775.00,1660.00,115.00,6.47,4866,0.00,4866.00,2.93,1775.00,1660.00,115.00,6.47
"64073","Gunnison County Metro Rec District",59,0.00,59.00,2.18,54.00,27.00,27.00,50.00,59,0.00,59.00,2.18,54.00,27.00,27.00,50.00
"64073","Gunnison County Metro Rec District",15267,973.00,14294.00,2.22,11140.00,6421.00,4719.00,42.36,15602,971.00,14631.00,2.26,11195.00,6452.00,4743.00,42.36
"64096","Normandy Estates Metro Rec District",686,0.00,686.00,2.75,252.00,249.00,3.00,1.19,690,0.00,690.00,2.74,254.00,251.00,3.00,1.18
"64096","Normandy Estates MRD",281,4.00,277.00,2.88,99.00,96.00,3.00,3.03,288,4.00,284.00,2.92,100.00,97.00,3.00,3.00
"64119","Estes Valley R/P District",118,6.00,112.00,1.89,344.00,59.00,285.00,82.84,119,6.00,113.00,1.91,344.00,59.00,285.00,82.84
"64119","Estes Valley R/P District",10928,296.00,10632.00,2.12,8530.00,5003.00,3527.00,41.34,11019,296.00,10723.00,2.13,8552.00,5018.00,3534.00,41.32
"64126","South Suburban P/R District",2490,0.00,2490.00,3.12,817.00,797.00,20.00,2.44,2542,0.00,2542.00,3.12,835.00,814.00,21.00,2.51
"64126","South Suburban P/R District",22523,0.00,22523.00,2.69,8692.00,8343.00,349.00,4.01,22963,0.00,22963.00,2.71,8820.00,8466.00,354.00,4.01
"64126","South Suburban P/R District",124627,1057.00,123570.00,2.50,51869.00,49312.00,2557.00,4.92,126879,1057.00,125822.00,2.53,52117.00,49540.00,2577.00,4.94
"64135","Strasburg Metro P/R District",1631,0.00,1631.00,2.84,616.00,574.00,42.00,6.81,1666,0.00,1666.00,2.88,621.00,578.00,43.00,6.92
"64135","Strasburg MPRD",3580,0.00,3580.00,2.95,1274.00,1211.00,63.00,4.94,3657,0.00,3657.00,2.99,1284.00,1221.00,63.00,4.90
"64170","Byers PRD",448,0.00,448.00,2.76,180.00,162.00,18.00,10.00,457,0.00,457.00,2.80,181.00,163.00,18.00,9.94
"64170","Byers PRD",2321,0.00,2321.00,2.93,878.00,791.00,87.00,9.90,2370,0.00,2370.00,2.97,885.00,797.00,88.00,9.94
"64193","Bowles Metro District",2327,0.00,2327.00,3.00,799.00,774.00,25.00,3.12,2392,0.00,2392.00,3.04,810.00,785.00,25.00,3.08
"64193","Bowles Metro District",2446,0.00,2446.00,2.52,1018.00,967.00,51.00,5.00,2478,0.00,2478.00,2.52,1034.00,982.00,52.00,5.02
"64211","Mid Valley Metro Dist",3858,0.00,3858.00,2.69,1585.00,1433.00,152.00,9.58,3890,0.00,3890.00,2.70,1590.00,1437.00,153.00,9.62
"64211","Mid Valley Metro District",105,0.00,105.00,2.91,40.00,36.00,4.00,10.00,106,0.00,106.00,2.94,40.00,36.00,4.00,10.00
"65065","Huerfano P/R District",6426,165.00,6261.00,1.96,5161.00,3180.00,1981.00,38.38,6474,165.00,6309.00,1.98,5158.00,3178.00,1980.00,38.38
"65117","Falcon Highlands",849,0.00,849.00,3.64,243.00,233.00,10.00,4.11,867,0.00,867.00,3.67,247.00,236.00,11.00,4.45
"65152"," Crown Mountain P/R Dist",3113,20.00,3093.00,2.41,1679.00,1281.00,398.00,23.70,3111,20.00,3091.00,2.40,1682.00,1284.00,398.00,23.66
"65152","Crown Mt. P/R District",8101,0.00,8101.00,2.74,3388.00,2948.00,440.00,12.98,4277,0.00,4277.00,2.81,1807.00,1518.00,289.00,15.99
"65199","Aspen Trails Metro Dist",79,0.00,79.00,2.46,48.00,32.00,16.00,33.33,80,0.00,80.00,2.50,48.00,32.00,16.00,33.33
"65200","Cross Creek Metro Dist",4007,0.00,4007.00,3.23,1336.00,1238.00,98.00,7.33,4074,0.00,4074.00,3.24,1353.00,1254.00,99.00,7.31
"65210","Cordillera Metro Dist",554,0.00,554.00,2.33,638.00,237.00,401.00,62.85,557,0.00,557.00,2.35,638.00,237.00,401.00,62.85
"65225","Buckhorn Heights Metro Dist",8,0.00,8.00,2.66,3.00,3.00,0.00,0.00,8,0.00,8.00,2.66,3.00,3.00,0.00,0.00
"65297","High Point Metropolitan District",441,0.00,441.00,4.36,105.00,101.00,4.00,3.80,455,0.00,455.00,4.41,107.00,103.00,4.00,3.73
"65495","Cumberland Green MD",1135,0.00,1135.00,3.55,341.00,319.00,22.00,6.45,1154,0.00,1154.00,3.58,345.00,322.00,23.00,6.66
"65520","Dancing Meadows Metro",319,0.00,319.00,2.21,152.00,144.00,8.00,5.26,319,0.00,319.00,2.21,152.00,144.00,8.00,5.26
