"county","countyfips","region","Population_2010","Births_2010","Deaths_2010","NetMig_2010","GQ_2010","Population_2011","Births_2011","Deaths_2011","NetMig_2011","GQ_2011","Population_2012","Births_2012","Deaths_2012","NetMig_2012","GQ_2012","Population_2013","Births_2013","Deaths_2013","NetMig_2013","GQ_2013","Population_2014","Births_2014","Deaths_2014","NetMig_2014","GQ_2014","Population_2015","Births_2015","Deaths_2015","NetMig_2015","GQ_2015"
"CHEYENNE COUNTY","17",5,1834,5,4,-3,0,1865,21,21,31,0,1882,38,27,6,0,1898,27,18,7,0,1859,27,15,-51,0,1846,29,19,-23,0
"CLEAR CREEK COUNTY","19",3,9155,20,16,16,0,9076,70,58,-56,-35,9096,63,46,-11,14,9076,70,59,-4,-27,9157,80,62,73,-10,9328,62,60,139,30
"CONEJOS COUNTY","21",8,8282,34,18,10,0,8282,104,88,-16,0,8245,126,82,-81,0,8223,109,99,-32,0,8220,122,71,-54,0,8050,116,93,-193,0
"COSTILLA COUNTY","23",8,3532,7,7,8,0,3645,37,32,108,0,3598,29,41,-35,0,3539,29,43,-45,0,3556,28,42,31,0,3578,29,34,27,0
"CROWLEY COUNTY","25",6,5838,9,8,14,0,5814,34,36,22,-44,5372,40,47,-88,-347,5274,41,39,-51,-49,5524,31,45,-10,274,5539,42,34,-57,64
"CUSTER COUNTY","27",13,4272,6,9,20,0,4224,22,29,-41,0,4240,26,36,26,0,4286,21,36,61,0,4364,22,35,91,0,4464,26,34,108,0
"DELTA COUNTY","29",10,30889,85,85,-63,0,30374,344,356,-470,-33,30466,337,315,27,43,30326,320,317,35,-178,30000,292,361,-395,138,29950,271,380,50,9
"DENVER COUNTY","31",3,604879,2429,1057,2041,0,620817,9622,4184,10261,239,634940,9181,4173,9121,-6,649214,9261,4216,9320,-91,664453,9327,4231,10243,-100,683096,9365,4316,13100,494
"DOLORES COUNTY","33",9,2060,4,4,-4,0,2022,18,17,-39,0,1984,24,17,-45,0,2017,17,18,34,0,1944,15,29,-59,0,1953,19,13,3,0
"DOUGLAS COUNTY","35",3,287124,907,226,829,0,292472,3557,905,2724,-28,298604,3477,1034,3686,3,306604,3429,1043,5518,96,314749,3536,1034,5643,0,322017,3376,1253,5145,0
"EAGLE COUNTY","37",12,52057,194,24,-310,0,51673,650,83,-966,15,51901,695,100,-367,0,52441,602,120,58,0,52945,659,122,-33,0,53580,642,110,103,0
"ELBERT COUNTY","39",5,23107,41,27,7,0,23218,174,108,45,0,23381,171,116,108,0,23649,156,133,245,0,24133,179,121,426,0,24694,208,137,490,0
"EL PASO COUNTY","41",4,627232,2250,882,3433,0,638619,9231,3650,4706,1100,647758,9156,3781,3742,22,657413,9086,3940,4160,349,665792,9181,4055,3159,94,677022,9435,4149,5824,120
"FREMONT COUNTY","43",13,46854,93,126,63,0,47408,379,528,354,349,47062,388,498,151,-387,46413,335,529,-173,-282,46339,380,542,246,-158,46559,381,544,432,-49
"GARFIELD COUNTY","45",11,56150,228,70,-397,0,56052,863,294,-651,-16,56835,788,252,231,16,57103,822,281,-238,-35,57484,773,286,-140,34,58082,767,340,179,-8
"GILPIN COUNTY","47",3,5463,12,6,16,0,5448,47,28,-34,0,5457,39,27,-3,0,5575,48,21,91,0,5711,40,30,126,0,5819,39,34,103,0
"GRAND COUNTY","49",12,14790,34,11,-76,0,14548,106,66,-282,0,14164,111,45,-450,0,14281,117,61,61,0,14465,123,68,129,0,14615,113,75,112,0
"GUNNISON COUNTY","51",10,15309,40,17,-38,0,15268,152,58,-6,-129,15392,164,74,-69,103,15614,149,65,-40,178,15797,136,56,114,-11,16145,138,77,289,-2
"HINSDALE COUNTY","53",10,843,2,1,-1,0,824,5,7,-17,0,795,6,3,-32,0,805,10,5,5,0,773,6,3,-35,0,767,7,6,-7,0
"HUERFANO COUNTY","55",14,6655,14,26,-44,0,6503,46,105,-93,0,6569,59,106,113,0,6484,50,88,-47,0,6426,41,98,-1,0,6474,55,103,96,0
"JACKSON COUNTY","57",12,1387,2,2,-7,0,1374,12,10,-15,0,1339,9,15,-29,0,1355,6,10,20,0,1386,17,12,26,0,1352,12,10,-36,0
"JEFFERSON COUNTY","59",3,535651,1431,939,415,0,539782,5529,3738,2044,296,546002,5556,3897,4554,7,551695,5633,4003,3877,186,559182,5917,4106,5665,11,565230,5838,4398,4590,18
"KIOWA COUNTY","61",6,1399,2,5,4,0,1442,20,22,45,0,1422,8,21,-7,0,1403,15,18,-16,0,1390,19,20,-12,0,1391,14,22,9,0
"KIT CARSON COUNTY","63",5,8267,27,20,-10,0,8182,105,83,94,-201,8086,93,69,-54,-66,8276,83,76,-65,248,8047,94,78,29,-274,8239,116,77,-74,227
"LAKE COUNTY","65",13,7282,26,9,-45,0,7388,104,41,35,8,7294,72,40,-126,0,7319,80,35,-20,0,7361,80,43,-3,8,7483,86,42,78,0
"LA PLATA COUNTY","67",9,51441,147,68,28,0,51867,543,246,131,-2,52457,536,332,223,163,53404,495,315,546,221,54012,552,300,474,-118,54907,579,346,615,47
"LARIMER COUNTY","69",2,300532,844,454,512,0,305113,3313,1861,3283,-154,310725,3407,1871,4005,71,316303,3375,1990,4017,176,324129,3490,1985,6006,315,332832,3448,2246,7066,435
"LAS ANIMAS COUNTY","71",14,15407,38,44,-94,0,15042,149,196,-321,3,14962,149,163,12,-78,14376,147,185,-551,3,14059,119,161,-368,93,14038,125,178,27,5
"LINCOLN COUNTY","73",5,5474,14,12,5,0,5405,64,52,-25,-56,5445,50,56,-11,57,5423,72,41,-40,-13,5511,49,47,70,16,5549,69,66,45,-10
"LOGAN COUNTY","75",1,22293,52,50,12,0,22257,212,182,-127,61,22018,223,182,-116,-164,21815,252,199,-203,-53,22095,240,238,106,172,22112,219,186,36,-52
"MESA COUNTY","77",11,147155,505,327,-582,0,148114,1908,1296,23,324,148339,1818,1306,-302,15,148331,1854,1378,-776,292,148450,1760,1382,79,-338,149249,1826,1492,125,340
"MINERAL COUNTY","79",8,705,2,2,-7,0,707,5,3,0,0,705,6,5,-3,0,725,4,4,20,0,696,5,4,-30,0,728,6,7,33,0
"MOFFAT COUNTY","81",11,13806,54,26,-17,0,13405,187,67,-521,0,13147,164,120,-302,0,13099,190,91,-147,0,12890,176,94,-291,0,12923,193,94,-66,0
"MONTEZUMA COUNTY","83",9,25532,79,68,-14,0,25451,308,288,-101,0,25434,294,268,-43,0,25660,293,252,185,0,25801,325,267,83,0,26139,329,246,255,0
"MONTROSE COUNTY","85",10,41188,122,97,-113,0,40901,492,399,-380,0,40721,402,451,-131,0,40730,455,383,-63,0,40862,481,390,41,0,40911,454,457,52,0
"MORGAN COUNTY","87",1,28196,112,60,-15,0,28436,460,277,57,0,28255,423,271,-333,0,28246,412,229,-192,0,28163,431,237,-277,0,28275,454,262,-80,0
"OTERO COUNTY","89",6,18838,54,53,6,0,18828,245,216,-39,0,18659,270,258,-181,0,18516,188,220,-111,0,18423,216,261,-48,0,18288,193,241,-87,0
