OBJECTID,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Length,Shape_Area
240,8,50480,2413000,850480,Milliken,Milliken town,43,C1,N,N,G4110,A,32607429,"218,688.00",40.3105017,-104.8583837,0.939616412,0.003477671
241,8,60160,2412489,860160,Platteville,Platteville town,43,C1,N,N,G4110,A,7441341,"26,626.00",40.216683,-104.8240766,0.451752303,0.000790178
242,8,80040,2413415,880040,Vail,Vail town,43,C1,N,N,G4110,A,12098093,"39,965.00",39.6375267,-106.3645261,0.472627388,0.00127355
243,8,26600,2412626,826600,Firestone,Firestone town,43,C1,N,N,G4110,A,29550412,"462,155.00",40.1492606,-104.9619322,1.286101523,0.00317221
244,8,28360,2412656,828360,Frederick,Frederick town,43,C1,N,N,G4110,A,36026950,"345,341.00",40.1093618,-104.9652514,1.174620528,0.003842136
245,8,62000,2411501,862000,Pueblo,Pueblo city,25,C1,Y,N,G4110,A,138801981,"2,033,673.00",38.269934,-104.6122941,3.592568463,0.014498708
246,8,41010,2412842,841010,Kit Carson,Kit Carson town,43,C1,N,N,G4110,A,1512766,0,38.7628232,-102.7953663,0.075085698,0.000156787
247,8,3235,2411647,803235,Arriba,Arriba town,43,C1,N,N,G4110,A,1139809,0,39.2840581,-103.2739025,0.046282762,0.000118992
248,8,15550,2413221,815550,Cokedale,Cokedale town,43,C1,N,N,G4110,A,530771,0,37.1442226,-104.6215896,0.035450798,5.38315E-05
249,8,7190,2411696,807190,Blanca,Blanca town,43,C1,N,N,G4110,A,4624964,0,37.4392805,-105.5135263,0.093454419,0.000470881
250,8,24785,2410441,824785,Englewood,Englewood city,25,C1,N,N,G4110,A,16968401,"227,412.00",39.646505,-104.9940011,0.386508856,0.001804433
251,8,33035,2410661,833035,Greenwood Village,Greenwood Village city,25,C1,N,N,G4110,A,21377604,"32,085.00",39.6159336,-104.9116883,0.529859102,0.002245605
252,8,19630,2412415,819630,Deer Trail,Deer Trail town,43,C1,N,N,G4110,A,2774816,"11,121.00",39.6158922,-104.0430066,0.115398477,0.00029221
253,8,43000,2411614,843000,Lakewood,Lakewood city,25,C1,Y,N,G4110,A,111039145,"3,056,300.00",39.6989417,-105.1175507,1.534590045,0.011981218
254,8,30835,2410611,830835,Golden,Golden city,25,C1,N,N,G4110,A,25785228,"250,694.00",39.742483,-105.2105614,0.649269963,0.002735725
255,8,84440,2412248,884440,Wheat Ridge,Wheat Ridge city,25,C1,N,N,G4110,A,24260621,"636,731.00",39.7726754,-105.1048006,0.416496652,0.002617289
256,8,45255,2410845,845255,Littleton,Littleton city,25,C1,N,N,G4110,A,32984900,"2,921,184.00",39.5903751,-105.0200838,0.541631308,0.003764805
257,8,42495,2412865,842495,Lakeside,Lakeside town,43,C1,N,N,G4110,A,485965,"157,267.00",39.7790753,-105.057825,0.033282512,6.7626E-05
258,8,75640,2413354,875640,Superior,Superior town,43,C1,N,N,G4110,A,10283450,"105,241.00",39.9311898,-105.1590853,0.280229785,0.001094631
259,8,1090,2409673,801090,Alamosa,Alamosa city,25,C1,N,N,G4110,A,19078754,"322,229.00",37.4750413,-105.8753137,0.544802674,0.001976221
260,8,41835,2411592,841835,Lafayette,Lafayette city,25,C1,N,N,G4110,A,24138934,"525,289.00",39.9952679,-105.0996196,0.744119527,0.002601051
261,8,82735,2413449,882735,Ward,Ward town,43,C1,N,N,G4110,A,1484382,"3,531.00",40.073201,-105.5156209,0.05905085,0.000157089
262,8,22035,2410374,822035,Durango,Durango city,25,C1,Y,N,G4110,A,28674265,"85,392.00",37.2732673,-107.8716923,0.971581181,0.002921795
263,8,64090,2412550,864090,Rico,Rico town,43,C1,N,N,G4110,A,1959923,0,37.6885692,-108.0314336,0.131410844,0.000200203
264,8,22145,2412454,822145,Eads,Eads town,43,C1,N,N,G4110,A,1216723,0,38.4813465,-102.779776,0.054216801,0.000125619
265,8,69700,2413280,869700,Sheridan Lake,Sheridan Lake town,43,C1,N,N,G4110,A,821235,0,38.4666766,-102.2941418,0.051620929,8.47703E-05
266,8,7025,2409856,807025,Black Hawk,Black Hawk city,25,C1,N,N,G4110,A,5037200,0,39.8010694,-105.4892237,0.116172698,0.00052974
