"countyfips","MuniTotalFlag","placefips","municipality","totalPopulation_2010c","groupquartersPopulation_2010c","householdPopulation_2010c","householdSize_2010c","totalHousingUnits_2010c","occupiedHousingUnits_2010c","vacantHousingUnits_2010c","vacancyRate_2010c","totalpopulation_2010","groupquartersPopulation_2010","householdPopulation_2010","householdSize_2010","totalHousingUnits_2010","occupiedHousingUnits_2010","vacantHousingUnits_2010","vacancyRate_2010","totalpopulation_2011","groupquartersPopulation_2011","householdPopulation_2011","householdSize_2011","totalHousingUnits_2011","occupiedHousingUnits_2011","vacantHousingUnits_2011","vacancyRate_2011","totalpopulation_2012","groupquartersPopulation_2012","householdPopulation_2012","householdSize_2012","totalHousingUnits_2012","occupiedHousingUnits_2012","vacantHousingUnits_2012","vacancyRate_2012","totalpopulation_2013","groupquartersPopulation_2013","householdPopulation_2013","householdSize_2013","totalHousingUnits_2013","occupiedHousingUnits_2013","vacantHousingUnits_2013","vacancyRate_2013"
"049",1,"85705","Winter Park",999,13,986,2.04,2572,481,2091,81.29,993,13,980,2.05,2573,478,2095,81.42,967,13,954,2.05,2575,465,2110,81.94,929,13,916,2.04,2578,447,2131,82.66,929,13,916,2.04,2578,447,2131,82.66
"049",1,"28305","Fraser",1224,5,1219,2.25,1096,540,556,50.72,1217,5,1212,2.25,1096,537,559,51.00,1187,5,1182,2.25,1099,524,575,52.32,1144,5,1139,2.25,1104,505,599,54.25,1148,5,1143,2.25,1109,506,603,54.37
"049",1,"31605","Granby",1864,0,1864,2.39,1531,778,753,49.18,1858,0,1858,2.39,1535,775,760,49.51,1830,0,1830,2.39,1554,764,790,50.83,1861,0,1861,2.39,1648,777,871,52.85,1868,0,1868,2.39,1655,780,875,52.87
"049",1,"31715","Grand Lake",471,3,468,1.95,918,239,679,73.96,469,3,466,1.95,920,238,682,74.13,461,3,458,1.95,930,234,696,74.83,448,3,445,1.96,941,227,714,75.87,454,3,451,1.96,955,230,725,75.91
"049",1,"37600","Hot Sulphur Springs",663,33,630,2.49,309,253,56,18.12,661,33,628,2.49,310,252,58,18.70,652,33,619,2.48,314,249,65,20.70,634,33,601,2.49,318,241,77,24.21,644,33,611,2.49,323,245,78,24.14
"049",1,"41560","Kremmling",1444,4,1440,2.34,694,614,80,11.52,1440,4,1436,2.34,696,612,84,12.06,1402,4,1398,2.34,697,596,101,14.49,1345,4,1341,2.34,697,572,125,17.93,1344,4,1340,2.34,697,571,126,18.07
"049",1,"99990","Unincorp. Area",8178,164,8014,2.24,8941,3564,5377,60.13,8152,164,7988,2.24,8964,3552,5412,60.37,8030,164,7866,2.24,9075,3498,5577,61.45,7796,164,7632,2.24,9180,3394,5786,63.02,7900,164,7736,2.24,9310,3440,5870,63.05
"005",,"08070","Bow Mar (Part)",589,0,589,2.95,204,199,5,2.45,591,0,591,2.95,204,200,4,1.96,599,0,599,2.96,204,202,2,0.98,612,0,612,2.95,205,207,-2,-0.97,622,0,622,2.96,206,210,-4,-1.94
"005",1,"69645","Sheridan",5664,0,5664,2.54,2455,2229,226,9.20,5686,0,5686,2.54,2455,2238,217,8.83,6019,0,6019,2.54,2564,2369,195,7.60,6559,0,6559,2.54,2751,2581,170,6.17,7244,0,7244,2.54,3001,2851,150,4.99
"005",1,"12815","Centennial",100377,1701,98676,2.63,38779,37449,1330,3.42,100766,1701,99065,2.63,38782,37597,1185,3.05,102198,1701,100497,2.63,38812,38140,672,1.73,103790,1701,102089,2.63,38826,38744,82,0.21,105927,1701,104226,2.63,39153,39555,-402,-1.02
"005",1,"13845","Cherry Hills Village",5987,0,5987,2.96,2151,2017,134,6.22,6013,0,6013,2.96,2152,2026,126,5.85,6098,0,6098,2.96,2153,2054,99,4.59,6178,0,6178,2.96,2148,2081,67,3.11,6272,0,6272,2.96,2154,2113,41,1.90
"005",1,"16385","Columbine Valley",1256,0,1256,2.55,530,491,39,7.35,1261,0,1261,2.55,530,493,37,6.98,1280,0,1280,2.56,531,500,31,5.83,1303,0,1303,2.55,532,509,23,4.32,1319,0,1319,2.55,532,516,16,3.00
"005",1,"19630","Deer Trail",546,0,546,2.37,274,230,44,16.05,548,0,548,2.37,274,231,43,15.69,556,0,556,2.37,274,234,40,14.59,564,0,564,2.36,274,238,36,13.13,571,0,571,2.36,274,241,33,12.04
"005",1,"24785","Englewood",30255,291,29964,2.08,15478,14375,1103,7.12,30375,291,30084,2.08,15480,14433,1047,6.76,30799,291,30508,2.08,15487,14636,851,5.49,31286,291,30995,2.08,15494,14870,624,4.02,31675,291,31384,2.08,15496,15056,440,2.83
"005",1,"28105","Foxfield",685,15,670,2.76,253,242,11,4.34,691,15,676,2.77,254,244,10,3.93,702,15,687,2.77,255,248,7,2.74,716,15,701,2.77,256,253,3,1.17,755,15,740,2.77,267,267,0,0.00
"005",1,"30340","Glendale",4184,0,4184,1.76,2649,2370,279,10.53,4200,0,4200,1.76,2649,2379,270,10.19,4258,0,4258,1.76,2649,2412,237,8.94,4323,0,4323,1.76,2649,2449,200,7.55,4377,0,4377,1.76,2649,2479,170,6.41
"005",,"04000","Aurora (Part)",285090,1652,283438,2.59,116857,109188,7669,6.56,286402,1652,284750,2.59,116947,109693,7254,6.20,292087,1641,290446,2.59,117677,111888,5789,4.91,297127,1638,295489,2.59,117896,113830,4066,3.44,302101,1646,300455,2.59,118408,115743,2665,2.25
"005",1,"33035","Greenwood Village",13925,53,13872,2.40,6301,5769,532,8.44,13988,53,13935,2.40,6305,5795,510,8.08,14218,53,14165,2.40,6323,5891,432,6.83,14458,53,14405,2.40,6332,5991,341,5.38,14657,53,14604,2.40,6341,6073,268,4.22
"005",,"06090","Bennett (Part)",353,0,353,2.94,126,120,6,4.76,354,0,354,2.95,126,120,6,4.76,359,0,359,2.94,126,122,4,3.17,365,0,365,2.94,126,124,2,1.58,369,0,369,2.95,126,125,1,0.79
"005",,"45255","Littleton (Part)",39328,491,38837,2.21,18615,17515,1100,5.90,39616,491,39125,2.21,18681,17645,1036,5.54,40160,491,39669,2.21,18685,17890,795,4.25,40784,491,40293,2.21,18690,18172,518,2.77,41291,491,40800,2.21,18693,18400,293,1.56
"005",1,"99990","Unincorp. Area",83764,717,83047,2.61,33629,31817,1812,5.38,84328,717,83611,2.61,33728,32033,1695,5.02,85970,717,85253,2.61,33926,32662,1264,3.72,87288,717,86571,2.61,33926,33167,759,2.23,89423,717,88706,2.61,34336,33985,351,1.02
"051",1,"59830","Pitkin",66,0,66,1.94,214,34,180,84.11,66,0,66,1.94,214,34,180,84.11,67,0,67,1.91,216,35,181,83.79,67,0,67,1.91,217,35,182,83.87,68,0,68,1.94,219,35,184,84.01
"051",1,"18310","Crested Butte",1487,0,1487,2.05,1069,725,344,32.17,1482,0,1482,2.04,1069,723,346,32.36,1491,0,1491,2.05,1076,727,349,32.43,1501,0,1501,2.05,1086,732,354,32.59,1516,0,1516,2.05,1098,739,359,32.69
"051",1,"33640","Gunnison",5854,760,5094,2.19,2645,2318,327,12.36,5856,760,5096,2.19,2655,2319,336,12.65,5874,760,5114,2.19,2667,2327,340,12.74,5865,760,5105,2.19,2669,2323,346,12.96,5863,760,5103,2.19,2669,2322,347,13.00
"051",1,"48555","Marble",131,0,131,2.42,105,54,51,48.57,131,0,131,2.42,105,54,51,48.57,130,0,130,2.40,105,54,51,48.57,130,0,130,2.40,105,54,51,48.57,130,0,130,2.40,105,54,51,48.57
"051",1,"52570","Mount Crested Butte/G",801,0,801,2.00,1510,400,1110,73.50,798,0,798,2.00,1510,399,1111,73.57,798,0,798,2.00,1510,399,1111,73.57,796,0,796,2.00,1512,398,1114,73.67,798,0,798,2.00,1515,399,1116,73.66
"051",1,"99990","Unincorp. Area",6985,90,6895,2.30,5869,2985,2884,49.13,6976,90,6886,2.30,5881,2981,2900,49.31,7028,90,6938,2.30,5931,3004,2927,49.35,7049,90,6959,2.30,5965,3013,2952,49.48,7079,90,6989,2.30,5992,3026,2966,49.49
"053",1,"42330","Lake City",408,0,408,2.12,447,192,255,57.04,408,0,408,2.12,448,192,256,57.14,401,0,401,2.12,452,189,263,58.18,385,0,385,2.12,455,181,274,60.21,389,0,389,2.12,456,183,273,59.86
"053",1,"99990","Unincorp. Area",435,56,379,2.22,941,170,771,81.93,435,56,379,2.22,943,170,773,81.97,428,56,372,2.22,950,167,783,82.42,413,56,357,2.23,956,160,796,83.26,416,56,360,2.23,959,161,798,83.21
"055",1,"82350","Walsenburg",3068,56,3012,2.11,1757,1421,336,19.12,3038,56,2982,2.11,1757,1407,350,19.92,2950,56,2894,2.12,1757,1365,392,22.31,2983,56,2927,2.11,1757,1381,376,21.40,2926,56,2870,2.11,1757,1354,403,22.93
"055",1,"44100","La Veta",800,0,800,1.92,566,415,151,26.67,793,0,793,1.92,567,411,156,27.51,770,0,770,1.92,567,399,168,29.62,778,0,778,1.92,567,404,163,28.74,763,0,763,1.92,567,396,171,30.15
"055",1,"99990","Unincorp. Area",2843,109,2734,2.10,2752,1301,1451,52.72,2824,109,2715,2.10,2760,1292,1468,53.18,2776,109,2667,2.10,2794,1269,1525,54.58,2806,109,2697,2.10,2794,1283,1511,54.08,2778,109,2669,2.10,2818,1270,1548,54.93
"057",1,"82130","Walden",608,2,606,2.08,377,291,86,22.81,604,2,602,2.08,377,289,88,23.34,597,2,595,2.08,378,286,92,24.33,581,2,579,2.08,378,278,100,26.45,587,2,585,2.08,378,281,97,25.66
"057",1,"99990","Unincorp. Area",786,0,786,2.19,909,358,551,60.61,783,0,783,2.19,911,357,554,60.81,777,0,777,2.19,917,354,563,61.39,756,0,756,2.19,919,344,575,62.56,766,0,766,2.19,919,349,570,62.02
"059",,"08070","Bow Mar (Part)",277,0,277,3.04,98,91,7,7.14,277,0,277,3.04,98,91,7,7.14,279,0,279,3.03,98,92,6,6.12,281,0,281,3.05,98,92,6,6.12,286,0,286,3.04,99,94,5,5.05
"059",,"75640","Superior (Part)",0,0,0,0.00,0,0,0,0.00,,0,,,0,,,,,0,,,0,,,,,0,,,0,,,,,0,,,0,,,
"059",,"83835","Westminster (Part)",42418,146,42272,2.54,17241,16637,604,3.50,42483,146,42337,2.54,17245,16663,582,3.37,42707,146,42561,2.54,17263,16751,512,2.96,43139,146,42993,2.54,17295,16921,374,2.16,43612,146,43466,2.54,17376,17107,269,1.54
"059",1,"84440","Wheat Ridge ",30166,554,29612,2.11,14868,13976,892,5.99,30207,554,29653,2.11,14869,13995,874,5.87,30337,554,29783,2.11,14871,14057,814,5.47,30759,554,30205,2.11,14958,14256,702,4.69,30950,554,30396,2.11,14959,14346,613,4.09
"059",1,"23135","Edgewater",5170,0,5170,2.30,2436,2246,190,7.79,5177,0,5177,2.30,2436,2249,187,7.67,5201,0,5201,2.30,2437,2259,178,7.30,5246,0,5246,2.30,2438,2279,159,6.52,5281,0,5281,2.30,2439,2294,145,5.94
"059",,"03455","Arvada (Part)",103584,500,103084,2.47,43276,41593,1683,3.88,103770,500,103270,2.47,43298,41668,1630,3.76,104651,500,104151,2.47,43482,42024,1458,3.35,106817,500,106317,2.47,44022,42897,1125,2.55,108582,609,107973,2.47,44429,43566,863,1.94
"059",1,"30835","Golden",18867,2333,16534,2.23,7748,7394,354,4.56,18930,2333,16597,2.23,7767,7422,345,4.44,19458,2723,16735,2.23,7799,7484,315,4.03,19681,2673,17008,2.23,7861,7606,255,3.24,19792,2673,17119,2.23,7863,7656,207,2.63
"059",1,"42495","Lakeside",8,0,8,1.00,10,8,2,20.00,8,0,8,1.00,10,8,2,20.00,8,0,8,1.00,10,8,2,20.00,8,0,8,1.00,10,8,2,20.00,8,0,8,1.00,10,8,2,20.00
"059",1,"43000","Lakewood",142980,2171,140809,2.27,65758,61986,3772,5.73,143193,2171,141022,2.27,65772,62080,3692,5.61,144210,2171,142039,2.27,65966,62527,3439,5.21,145635,2171,143464,2.27,66080,63155,2925,4.42,147235,2171,145064,2.27,66400,63859,2541,3.82
"059",,"45255","Littleton (Part)",2381,0,2381,3.04,802,782,20,2.49,2393,0,2393,3.04,805,786,19,2.36,2439,0,2439,3.04,817,801,16,1.95,2460,0,2460,3.04,817,808,9,1.10,2475,0,2475,3.04,817,813,4,0.48
"059",1,"52075","Morrison",428,146,282,2.07,141,136,5,3.54,428,146,282,2.07,141,136,5,3.54,430,146,284,2.07,141,137,4,2.83,432,146,286,2.07,141,138,3,2.12,434,146,288,2.07,141,139,2,1.41
"059",1,"52350","Mountain View",507,0,507,1.96,278,258,20,7.19,508,0,508,1.96,278,259,19,6.83,510,0,510,1.96,278,260,18,6.47,514,0,514,1.96,278,262,16,5.75,521,0,521,1.96,280,265,15,5.35
"059",1,"99990","Unincorp. Area",187757,1577,186180,2.54,77311,73053,4258,5.50,188277,1577,186700,2.54,77447,73267,4180,5.39,189357,1568,187789,2.54,77569,73695,3874,4.99,191219,1591,189628,2.54,77685,74416,3269,4.20,193037,1584,191453,2.54,77943,75132,2811,3.60
"061",1,"69700","Sheridan Lake",88,0,88,3.03,43,29,14,32.55,88,0,88,3.03,43,29,14,32.55,90,0,90,3.00,43,30,13,30.23,89,0,89,3.06,43,29,14,32.55,87,0,87,3.00,43,29,14,32.55
"061",1,"22145","Eads",609,14,595,2.08,352,286,66,18.75,609,14,595,2.08,352,286,66,18.75,623,14,609,2.07,352,293,59,16.76,612,14,598,2.08,352,287,65,18.46,603,14,589,2.08,352,283,69,19.60
"061",1,"34740","Haswell",68,0,68,2.06,41,33,8,19.51,68,0,68,2.06,41,33,8,19.51,70,0,70,2.05,41,34,7,17.07,68,0,68,2.06,41,33,8,19.51,67,0,67,2.03,41,33,8,19.51
"061",1,"99990","Unincorp. Area",633,0,633,2.33,369,271,98,26.55,634,0,634,2.33,370,271,99,26.75,659,0,659,2.33,376,282,94,25.00,651,0,651,2.33,377,279,98,25.99,644,0,644,2.33,379,276,103,27.17
"063",1,"69040","Seibert",181,0,181,2.12,118,85,33,27.96,181,0,181,2.12,118,85,33,27.96,184,0,184,2.13,118,86,32,27.11,183,0,183,2.12,118,86,32,27.11,182,0,182,2.14,118,85,33,27.96
"063",1,"74485","Stratton",658,6,652,2.27,346,287,59,17.05,658,6,652,2.27,346,287,59,17.05,669,6,663,2.27,346,292,54,15.60,667,6,661,2.27,346,291,55,15.89,662,6,656,2.26,346,289,57,16.47
"063",1,"81690","Vona",106,0,106,2.16,61,49,12,19.67,106,0,106,2.16,61,49,12,19.67,108,0,108,2.16,61,50,11,18.03,107,0,107,2.18,61,49,12,19.67,107,0,107,2.18,61,49,12,19.67
"063",1,"10600","Burlington",4254,1069,3185,2.35,1478,1351,127,8.59,4253,1069,3184,2.35,1478,1351,127,8.59,4111,868,3243,2.35,1480,1376,104,7.02,4034,802,3232,2.35,1480,1371,109,7.36,4011,803,3208,2.35,1480,1361,119,8.04
"063",1,"26765","Flager",561,0,561,2.08,328,269,59,17.98,561,0,561,2.08,328,269,59,17.98,570,0,570,2.08,328,273,55,16.76,569,0,569,2.08,328,273,55,16.76,564,0,564,2.08,328,270,58,17.68
"063",1,"06530","Bethune",237,0,237,3.03,84,78,6,7.14,237,0,237,3.03,84,78,6,7.14,241,0,241,3.05,84,79,5,5.95,240,0,240,3.03,84,79,5,5.95,238,0,238,3.05,84,78,6,7.14
"063",1,"99990","Unincorp. Area",2273,0,2273,2.47,1112,919,193,17.35,2271,0,2271,2.47,1112,918,194,17.44,2311,0,2311,2.47,1112,934,178,16.00,2304,0,2304,2.47,1112,932,180,16.18,2288,0,2288,2.47,1112,925,187,16.81
"065",1,"44320","Leadville",2602,55,2547,2.11,1674,1202,472,28.19,2592,55,2537,2.11,1674,1197,477,28.49,2624,63,2561,2.11,1675,1209,466,27.82,2585,63,2522,2.11,1680,1190,490,29.16,2580,63,2517,2.11,1680,1188,492,29.28
"065",1,"99990","Unincorp. Area",4708,78,4630,2.64,2597,1751,846,32.57,4690,78,4612,2.64,2597,1744,853,32.84,4763,78,4685,2.64,2615,1772,843,32.23,4700,78,4622,2.64,2628,1748,880,33.48,4728,78,4650,2.64,2648,1759,889,33.57
"067",1,"22035","Durango",16887,1622,15265,2.17,7851,7017,834,10.62,16901,1622,15279,2.17,7859,7023,836,10.63,17008,1622,15386,2.17,7912,7073,839,10.60,17240,1738,15502,2.17,7950,7126,824,10.36,17689,1952,15737,2.17,7995,7234,761,9.51
"067",1,"05265","Bayfield",2333,0,2333,2.58,966,903,63,6.52,2357,0,2357,2.58,976,912,64,6.55,2389,0,2389,2.58,989,925,64,6.47,2437,0,2437,2.58,1006,943,63,6.26,2493,0,2493,2.58,1020,965,55,5.39
"067",1,"38535","Ignacio",697,0,697,2.48,307,280,27,8.79,699,0,699,2.48,308,281,27,8.76,702,0,702,2.48,309,282,27,8.73,704,0,704,2.48,309,283,26,8.41,711,0,711,2.48,309,286,23,7.44
"067",1,"99990","Unincorp. Area",31417,93,31324,2.42,16736,12900,3836,22.92,31484,93,31391,2.42,16775,12928,3847,22.93,31775,93,31682,2.42,16925,13047,3878,22.91,32044,93,31951,2.42,17021,13158,3863,22.69,32553,93,32460,2.42,17131,13368,3763,21.96
"069",1,"77510","Timnath",625,0,625,2.92,243,214,29,11.93,626,0,626,2.92,243,214,29,11.93,784,0,784,2.92,302,268,34,11.25,791,0,791,2.91,302,271,31,10.26,793,0,793,2.91,302,272,30,9.93
"069",1,"83230","Wellington",6289,0,6289,2.87,2278,2186,92,4.03,6311,0,6311,2.87,2281,2194,87,3.81,6376,0,6376,2.87,2290,2216,74,3.23,6489,0,6489,2.87,2309,2256,53,2.29,6700,0,6700,2.87,2379,2329,50,2.10
"069",,"85485","Windsor (Part)",4574,0,4574,2.92,1661,1566,95,5.71,4601,0,4601,2.92,1667,1575,92,5.51,4753,0,4753,2.92,1711,1627,84,4.90,5017,0,5017,2.92,1790,1718,72,4.02,5526,0,5526,2.92,1967,1892,75,3.81
"069",1,"25115","Estes Park",5858,37,5821,2.08,4107,2796,1311,31.92,5880,37,5843,2.08,4113,2807,1306,31.75,5932,37,5895,2.08,4124,2832,1292,31.32,6017,37,5980,2.08,4145,2872,1273,30.71,6075,37,6038,2.08,4176,2900,1276,30.55
"069",1,"27425","Fort Collins",143986,7085,136901,2.36,60503,57829,2674,4.41,144416,7085,137331,2.36,60558,58011,2547,4.20,145809,6920,138889,2.36,60858,58669,2189,3.59,149110,6991,142119,2.36,61703,60033,1670,2.70,152205,7167,145038,2.36,62832,61266,1566,2.49
"069",,"39855","Johnstown (Part)",537,0,537,2.38,272,225,47,17.27,542,0,542,2.38,274,227,47,17.15,564,0,564,2.38,283,236,47,16.60,597,0,597,2.38,297,250,47,15.82,647,0,647,2.38,321,271,50,15.57
"069",,"06255","Berthoud (Part)",5042,69,4973,2.51,2064,1980,84,4.06,5060,69,4991,2.51,2067,1987,80,3.87,5092,69,5023,2.51,2067,2000,67,3.24,5138,69,5069,2.51,2067,2018,49,2.37,5248,69,5179,2.51,2107,2062,45,2.13
"069",1,"46465","Loveland",66859,510,66349,2.44,28557,27153,1404,4.91,67046,510,66536,2.44,28574,27230,1344,4.70,69150,510,68640,2.44,29291,28091,1200,4.09,70191,510,69681,2.44,29463,28517,946,3.21,71224,510,70714,2.44,29834,28939,895,2.99
"069",1,"99990","Unincorp. Area",65860,829,65031,2.46,33037,26346,6691,20.25,66050,829,65221,2.46,33059,26423,6636,20.07,66557,829,65728,2.46,33106,26628,6478,19.56,67166,829,66337,2.46,33106,26875,6231,18.82,67310,829,66481,2.46,33106,26933,6173,18.64
"007",1,"56860","Pagosa Springs",1727,66,1661,2.31,945,716,229,24.23,1722,66,1656,2.31,945,714,231,24.44,1706,66,1640,2.31,946,707,239,25.26,1715,66,1649,2.31,949,711,238,25.07,1732,66,1666,2.32,952,718,234,24.57
"007",1,"99990","Unincorp. Area",10357,63,10294,2.26,7817,4551,3266,41.78,10338,63,10275,2.26,7827,4543,3284,41.95,10285,63,10222,2.26,7870,4519,3351,42.57,10366,63,10303,2.26,7913,4555,3358,42.43,10436,63,10373,2.26,7911,4586,3325,42.03
"071",1,"08345","Branson",74,0,74,2.24,45,33,12,26.66,73,0,73,2.21,45,33,12,26.66,72,0,72,2.25,45,32,13,28.88,71,0,71,2.21,45,32,13,28.88,68,0,68,2.26,45,30,15,33.33
"071",1,"73715","Starkville",59,0,59,2.26,35,26,9,25.71,59,0,59,2.26,35,26,9,25.71,57,0,57,2.28,35,25,10,28.57,57,0,57,2.28,35,25,10,28.57,54,0,54,2.25,35,24,11,31.42
"071",1,"78610","Trinidad",9096,379,8717,2.30,4375,3774,601,13.73,9033,379,8654,2.30,4375,3747,628,14.35,8788,379,8409,2.30,4368,3641,727,16.64,8775,379,8396,2.30,4372,3635,737,16.85,8393,379,8014,2.30,4372,3470,902,20.63
"071",1,"15550","Cokedale",129,0,129,2.43,94,53,41,43.61,128,0,128,2.41,94,53,41,43.61,125,0,125,2.45,94,51,43,45.74,124,0,124,2.43,94,51,43,45.74,120,0,120,2.44,95,49,46,48.42
"071",1,"00760","Aguilar",538,0,538,2.30,290,233,57,19.65,534,0,534,2.31,290,231,59,20.34,520,0,520,2.31,290,225,65,22.41,519,0,519,2.30,290,225,65,22.41,495,0,495,2.31,290,214,76,26.20
"071",1,"40570","Kim",74,0,74,1.89,47,39,8,17.02,73,0,73,1.92,47,38,9,19.14,72,0,72,1.89,47,38,9,19.14,71,0,71,1.91,47,37,10,21.27,68,0,68,1.88,47,36,11,23.40
"071",1,"99990","Unincorp. Area",5537,479,5058,2.27,3331,2226,1105,33.17,5507,479,5028,2.27,3335,2213,1122,33.64,5402,482,4920,2.27,3354,2165,1189,35.45,5340,404,4936,2.27,3372,2172,1200,35.58,5163,407,4756,2.27,3405,2093,1312,38.53
"073",1,"03235","Arriba",193,0,193,2.03,129,95,34,26.35,193,0,193,2.03,129,95,34,26.35,192,0,192,2.02,129,95,34,26.35,191,0,191,2.03,129,94,35,27.13,190,0,190,2.02,129,94,35,27.13
"073",1,"29680","Genoa",139,0,139,2.27,84,61,23,27.38,139,0,139,2.27,84,61,23,27.38,138,0,138,2.26,84,61,23,27.38,138,0,138,2.26,84,61,23,27.38,137,0,137,2.28,84,60,24,28.57
"073",1,"37875","Hugo",730,91,639,2.07,410,308,102,24.87,730,91,639,2.07,410,308,102,24.87,727,91,636,2.07,410,307,103,25.12,721,91,630,2.07,409,304,105,25.67,720,91,629,2.07,410,303,107,26.09
"073",1,"44980","Limon",1880,0,1880,2.27,963,828,135,14.01,1883,0,1883,2.27,964,829,135,14.00,1875,0,1875,2.26,965,826,139,14.40,1865,0,1865,2.27,965,821,144,14.92,1857,0,1857,2.27,966,818,148,15.32
"073",1,"99990","Unincorp. Area",2525,939,1586,2.41,834,656,178,21.34,2529,939,1590,2.41,835,658,177,21.19,2469,888,1581,2.41,835,654,181,21.67,2524,945,1579,2.41,839,653,186,22.16,2516,932,1584,2.41,846,655,191,22.57
"075",1,"58235","Peetz",238,0,238,2.45,106,97,9,8.49,238,0,238,2.45,106,97,9,8.49,237,0,237,2.44,106,97,9,8.49,235,0,235,2.44,106,96,10,9.43,233,0,233,2.45,106,95,11,10.37
"075",1,"73935","Sterling",14777,3808,10969,2.25,5404,4873,531,9.82,14350,3378,10972,2.25,5404,4874,530,9.80,14269,3365,10904,2.25,5406,4844,562,10.39,14196,3364,10832,2.25,5408,4812,596,11.02,14022,3284,10738,2.25,5409,4770,639,11.81
"075",1,"18640","Crook",110,0,110,1.92,76,57,19,25.00,110,0,110,1.92,76,57,19,25.00,109,0,109,1.94,76,56,20,26.31,109,0,109,1.94,76,56,20,26.31,108,0,108,1.92,76,56,20,26.31
"075",1,"26875","Fleming",408,0,408,2.47,204,165,39,19.11,408,0,408,2.47,204,165,39,19.11,405,0,405,2.46,204,164,40,19.60,403,0,403,2.47,204,163,41,20.09,401,0,401,2.47,205,162,43,20.97
"075",1,"38590","Iliff",266,0,266,2.50,128,106,22,17.18,266,0,266,2.50,128,106,22,17.18,264,0,264,2.51,128,105,23,17.96,262,0,262,2.51,128,104,24,18.75,260,0,260,2.50,128,104,24,18.75
"075",1,"50040","Merino",284,0,284,2.62,120,108,12,10.00,284,0,284,2.62,120,108,12,10.00,284,0,284,2.62,121,108,13,10.74,282,0,282,2.63,121,107,14,11.57,280,0,280,2.64,121,106,15,12.39
"075",1,"99990","Unincorp. Area",6626,96,6530,2.47,2943,2641,302,10.26,6637,96,6541,2.47,2947,2645,302,10.24,6622,96,6526,2.47,2959,2639,320,10.81,6599,96,6503,2.47,2970,2630,340,11.44,6554,96,6458,2.47,2976,2612,364,12.23
"077",1,"56970","Palisade",2692,72,2620,2.21,1274,1184,90,7.06,2677,72,2605,2.21,1276,1177,99,7.75,2681,72,2609,2.21,1284,1179,105,8.17,2676,72,2604,2.21,1291,1177,114,8.83,2641,72,2569,2.21,1298,1161,137,10.55
"077",1,"15605","Collbran",708,235,473,2.50,221,189,32,14.47,705,235,470,2.50,221,188,33,14.93,704,235,469,2.50,222,187,35,15.76,703,235,468,2.50,223,187,36,16.14,696,235,461,2.50,224,184,40,17.85
"077",1,"19355","De Beque",504,2,502,2.64,222,190,32,14.41,500,2,498,2.64,222,188,34,15.31,500,2,498,2.64,223,188,35,15.69,499,2,497,2.64,224,188,36,16.07,492,2,490,2.64,225,185,40,17.77
"077",1,"28745","Fruita",12646,208,12438,2.63,5069,4719,350,6.90,12572,208,12364,2.63,5076,4691,385,7.58,12688,208,12480,2.63,5149,4735,414,8.04,12710,208,12502,2.63,5194,4743,451,8.68,12615,208,12407,2.63,5254,4707,547,10.41
"077",1,"31660","Grand Junction",58566,2884,55682,2.29,26170,24311,1859,7.10,58943,3152,55791,2.29,26207,24359,1848,7.05,59601,3291,56310,2.29,26438,24586,1852,7.00,60212,3496,56716,2.29,26620,24763,1857,6.97,61212,3810,57402,2.29,26891,25062,1829,6.80
"077",1,"99990","Unincorp. Area",71607,230,71377,2.59,29688,27502,2186,7.36,71190,230,70960,2.59,29729,27341,2388,8.03,71181,230,70951,2.59,29873,27338,2535,8.48,71031,230,70801,2.59,30019,27280,2739,9.12,70155,230,69925,2.59,30219,26942,3277,10.84
"079",1,"14765","City of Creede",290,0,290,1.82,270,159,111,41.11,287,0,287,1.82,270,157,113,41.85,287,0,287,1.82,270,157,113,41.85,282,0,282,1.81,270,155,115,42.59,292,0,292,1.82,274,160,114,41.60
"079",1,"99990","Unincorp. Area",422,0,422,2.15,931,196,735,78.94,418,0,418,2.15,933,194,739,79.20,420,0,420,2.15,938,195,743,79.21,418,0,418,2.15,947,194,753,79.51,429,0,429,2.15,951,199,752,79.07
"081",1,"17760","Craig",9464,99,9365,2.47,4082,3787,295,7.22,9468,99,9369,2.47,4084,3789,295,7.22,9201,99,9102,2.47,4086,3681,405,9.91,9005,99,8906,2.47,4089,3601,488,11.93,8955,99,8856,2.47,4091,3581,510,12.46
"081",1,"20495","Dinosaur",339,0,339,2.58,175,131,44,25.14,339,0,339,2.58,175,131,44,25.14,329,0,329,2.59,175,127,48,27.42,322,0,322,2.59,175,124,51,29.14,320,0,320,2.58,175,124,51,29.14
"081",1,"99990","Unincorp. Area",3992,3,3989,2.57,1939,1547,392,20.21,3999,3,3996,2.57,1943,1550,393,20.22,3895,3,3892,2.57,1948,1509,439,22.53,3821,3,3818,2.57,1955,1481,474,24.24,3815,3,3812,2.57,1964,1478,486,24.74
"083",1,"17375","Cortez",8482,126,8356,2.32,3885,3590,295,7.59,8484,126,8358,2.32,3888,3591,297,7.63,8464,126,8338,2.32,3899,3582,317,8.13,8470,126,8344,2.32,3905,3585,320,8.19,8551,126,8425,2.32,3912,3620,292,7.46
