"countyfips","MuniTotalFlag","placefips","municipality","totalPopulation_2010c","groupquartersPopulation_2010c","householdPopulation_2010c","householdSize_2010c","totalHousingUnits_2010c","occupiedHousingUnits_2010c","vacantHousingUnits_2010c","vacancyRate_2010c","totalpopulation_2010","groupquartersPopulation_2010","householdPopulation_2010","householdSize_2010","totalHousingUnits_2010","occupiedHousingUnits_2010","vacantHousingUnits_2010","vacancyRate_2010","totalpopulation_2011","groupquartersPopulation_2011","householdPopulation_2011","householdSize_2011","totalHousingUnits_2011","occupiedHousingUnits_2011","vacantHousingUnits_2011","vacancyRate_2011","totalpopulation_2012","groupquartersPopulation_2012","householdPopulation_2012","householdSize_2012","totalHousingUnits_2012","occupiedHousingUnits_2012","vacantHousingUnits_2012","vacancyRate_2012","totalpopulation_2013","groupquartersPopulation_2013","householdPopulation_2013","householdSize_2013","totalHousingUnits_2013","occupiedHousingUnits_2013","vacantHousingUnits_2013","vacancyRate_2013"
"027",1,"99990","Unincorp. Area",3100,0,3100,2.17,3267,1428,1839,56.29,3113,0,3113,2.17,3279,1434,1845,56.26,3078,0,3078,2.17,3332,1418,1914,57.44,3099,0,3099,2.17,3393,1428,1965,57.91,3148,0,3148,2.17,3443,1450,1993,57.88
"029",1,"57300","Paonia",1451,37,1414,2.15,743,657,86,11.57,1450,37,1413,2.15,744,657,87,11.69,1424,37,1387,2.15,744,644,100,13.44,1420,37,1383,2.15,743,643,100,13.45,1565,37,1528,2.15,824,710,114,13.83
"029",1,"12635","Cedaredge",2253,0,2253,2.10,1180,1068,112,9.49,2248,0,2248,2.10,1180,1066,114,9.66,2209,0,2209,2.10,1181,1047,134,11.34,2206,0,2206,2.10,1181,1046,135,11.43,2202,0,2202,2.10,1183,1044,139,11.74
"029",1,"17925","Crawford",431,0,431,2.39,212,180,32,15.09,430,0,430,2.38,212,180,32,15.09,422,0,422,2.39,212,176,36,16.98,422,0,422,2.39,212,176,36,16.98,420,0,420,2.40,212,175,37,17.45
"029",1,"19850","Delta",8915,136,8779,2.48,3825,3530,295,7.71,8897,136,8761,2.48,3826,3523,303,7.91,8755,136,8619,2.48,3833,3466,367,9.57,8832,136,8696,2.48,3873,3497,376,9.70,8804,136,8668,2.48,3875,3485,390,10.06
"029",1,"37545","Hotchkiss",944,0,944,2.23,471,422,49,10.40,942,0,942,2.23,471,421,50,10.61,925,0,925,2.23,471,414,57,12.10,924,0,924,2.23,471,413,58,12.31,920,0,920,2.23,471,411,60,12.73
"029",1,"55980","Orchard City",3119,55,3064,2.34,1417,1308,109,7.69,3114,55,3059,2.34,1418,1306,112,7.89,3063,55,3008,2.34,1420,1284,136,9.57,3067,55,3012,2.34,1424,1286,138,9.69,3056,55,3001,2.34,1424,1281,143,10.04
"029",1,"99990","Unincorp. Area",13839,485,13354,2.41,6724,5538,1186,17.63,13808,485,13323,2.41,6724,5525,1199,17.83,13537,452,13085,2.41,6724,5426,1298,19.30,13560,495,13065,2.41,6724,5418,1306,19.42,13332,317,13015,2.41,6724,5397,1327,19.73
"003",1,"01090","Alamosa",8780,672,8108,2.36,3671,3426,245,6.67,8796,672,8124,2.36,3675,3433,242,6.58,8914,672,8242,2.36,3700,3483,217,5.86,8909,672,8237,2.36,3708,3481,227,6.12,9018,672,8346,2.36,3762,3527,235,6.24
"003",1,"37380","Hooper",103,0,103,2.34,62,44,18,29.03,103,0,103,2.34,62,44,18,29.03,104,0,104,2.36,62,44,18,29.03,104,0,104,2.36,62,44,18,29.03,103,0,103,2.34,62,44,18,29.03
