"county","countyfips","region","Population_2010","Births_2010","Deaths_2010","NetMig_2010","GQ_2010","Population_2011","Births_2011","Deaths_2011","NetMig_2011","GQ_2011","Population_2012","Births_2012","Deaths_2012","NetMig_2012","GQ_2012","Population_2013","Births_2013","Deaths_2013","NetMig_2013","GQ_2013","Population_2014","Births_2014","Deaths_2014","NetMig_2014","GQ_2014","Population_2015","Births_2015","Deaths_2015","NetMig_2015","GQ_2015","Population_2016","Births_2016","Deaths_2016","NetMig_2016","GQ_2016"
"KIT CARSON COUNTY","63",5,8267,27,20,-10,0,8181,105,83,93,-201,8088,93,69,-51,-66,8269,83,76,-74,248,8039,94,78,28,-274,8219,116,77,-86,227,7639,94,79,-76,-519
"LAKE COUNTY","65",13,7282,26,9,-45,0,7382,104,41,29,8,7291,72,40,-123,0,7317,80,35,-19,0,7370,80,43,8,8,7502,86,42,72,16,7595,64,44,82,-9
"LA PLATA COUNTY","67",9,51441,147,68,28,0,51866,543,246,128,0,52457,536,332,224,163,53405,495,315,547,221,53978,552,300,439,-118,54857,579,346,599,47,55697,571,337,657,-51
"LARIMER COUNTY","69",2,300532,844,454,512,0,305078,3313,1861,3248,-154,310717,3407,1871,4032,71,316284,3375,1990,4006,176,324105,3490,1985,6001,315,332830,3448,2246,7088,435,338663,3464,2165,4584,-50
"LAS ANIMAS COUNTY","71",14,15407,38,44,-94,0,15045,149,196,-318,3,14966,149,163,13,-78,14378,147,185,-553,3,14078,119,161,-351,93,14061,125,178,31,5,14082,130,184,76,-1
"LINCOLN COUNTY","73",5,5474,14,12,5,0,5397,64,52,-30,-59,5438,50,56,-9,56,5414,72,41,-42,-13,5509,49,47,77,16,5549,69,66,47,-10,5554,52,58,74,-63
"LOGAN COUNTY","75",1,22293,52,50,12,0,22254,212,182,-130,61,22003,223,182,-128,-164,21809,252,199,-194,-53,22099,240,238,116,172,22122,219,186,42,-52,22047,223,255,-52,9
"MESA COUNTY","77",11,147155,505,327,-582,0,148108,1908,1296,17,324,148291,1818,1306,-344,15,148232,1854,1378,-827,292,148250,1760,1382,-22,-338,149023,1826,1492,99,340,150731,1709,1462,1229,232
"MINERAL COUNTY","79",8,705,2,2,-7,0,706,5,3,-1,0,706,6,5,-1,0,727,4,4,21,0,696,5,4,-32,0,729,6,7,34,0,737,8,5,5,0
"MOFFAT COUNTY","81",11,13806,54,26,-17,0,13402,187,67,-524,0,13135,164,120,-311,0,13080,190,91,-154,0,12866,176,94,-296,0,12884,193,94,-81,0,13088,181,90,113,0
"MONTEZUMA COUNTY","83",9,25532,79,68,-14,0,25463,308,288,-89,0,25441,294,268,-48,0,25660,293,252,178,0,25806,325,267,88,0,26129,329,246,240,0,26906,297,257,737,0
"MONTROSE COUNTY","85",10,41188,122,97,-113,0,40894,492,399,-387,0,40691,402,451,-154,0,40674,455,383,-89,0,40769,481,390,4,0,40795,454,457,29,0,41421,423,429,632,0
"MORGAN COUNTY","87",1,28196,112,60,-15,0,28434,460,277,55,0,28241,423,271,-345,0,28219,412,229,-205,0,28127,431,237,-286,0,28230,454,262,-89,0,28148,428,281,-229,0
"OTERO COUNTY","89",6,18838,54,53,6,0,18831,245,216,-36,0,18660,270,258,-183,0,18505,188,220,-123,0,18398,216,261,-62,0,18265,193,241,-85,0,18290,228,250,47,0
